date,OilRmb,SZ399001,SG000001,HS000300,CI005001,CI005002,CI005003,CI005005
11/9/2005,422.12574,2703.11,1108.15,879.252,871.1926,650.1396,867.3353,760.3054
11/10/2005,414.79641,2660.33,1088.3,862.968,857.8534,623.0288,845.5718,743.1522
11/11/2005,406.256175,2664.05,1090.2,864.79,853.5031,626.5622,847.7188,740.4639
11/14/2005,407.756808,2633.66,1088.65,862.149,850.8891,625.5426,859.3106,739.396
11/15/2005,404.235831,2622.03,1087.51,856.635,858.8525,620.0984,855.1723,737.0638
11/16/2005,402.042185,2639.5,1095.89,863.119,863.0055,626.6185,861.8741,756.9229
11/17/2005,405.064185,2643.05,1095.31,862.658,854.8049,627.1405,862.9846,746.8691
11/18/2005,400.101905,2721.87,1117,882.241,867.1431,646.0033,872.2921,755.2806
11/21/2005,405.37248,2732.76,1119.94,883.871,870.2759,646.1676,873.8475,729.9671
11/22/2005,409.82331,2687.24,1098.66,869.617,851.1117,634.4989,856.9583,724.6469
11/23/2005,412.683095,2706.08,1105.75,876.229,852.2574,638.4557,863.3415,735.2276
11/24/2005,411.272624,2716.8,1113.37,881.493,857.8931,643.1167,865.5274,743.1697
11/25/2005,407.41881,2725.06,1114.92,884.105,856.0545,641.5007,867.7971,748.4531
11/28/2005,404.39826,2713.49,1110.82,880.167,854.4548,637.8273,863.6356,739.7996
11/29/2005,402.34685,2682.11,1096.99,871.31,840.9881,632.8018,852.894,732.6137
11/30/2005,401.475324,2676.85,1099.26,873.825,840.7028,630.2245,856.3293,733.3187
12/1/2005,409.757084,2684.56,1098.75,873.067,844.2183,628.7991,858.408,734.8491
12/2/2005,419.099226,2680.64,1094.29,869.936,843.0771,627.4794,858.6706,723.493
12/5/2005,426.009232,2643.93,1079.2,859.61,834.3226,613.8016,837.5236,719.1416
12/6/2005,427.07028,2659.02,1087.79,866.075,843.7942,623.0121,843.5546,726.4307
12/7/2005,427.16464,2676.86,1099.62,873.838,855.6071,624.3288,851.2748,728.3639
12/8/2005,427.601674,2691.45,1098.32,874.056,853.6782,628.1723,848.9362,724.0263
12/9/2005,435.8081,2724.19,1113.48,887.358,863.726,642.6167,863.495,731.5458
12/12/2005,432.09275,2736.92,1116.37,888.518,863.1106,651.4752,875.0895,729.7586
12/13/2005,439.71188,2758.77,1117.85,889.101,868.9268,650.8233,876.4963,726.4682
12/14/2005,441.061962,2789.99,1125.39,898.153,872.999,656.0101,886.8563,727.4418
12/15/2005,439.581224,2777.91,1123.56,896.434,873.5967,649.9774,878.9961,728.4648
12/16/2005,429.9405,2801.64,1127.51,902.561,875.2439,651.6863,888.7013,735.7171
12/19/2005,416.75407,2793.76,1131.75,902.91,885.1357,652.5978,888.6366,739.1499
12/20/2005,414.71001,2804.8,1136.34,907.318,886.7018,659.7347,888.3869,739.8656
12/21/2005,415.24582,2788.67,1130.76,903.144,883.3211,660.3335,880.8354,725.0577
12/22/2005,419.81647,2805.38,1135.24,908.754,880.8333,660.9284,884.6157,725.7182
12/23/2005,416.233575,2827.19,1144.87,915.89,888.0539,670.5801,891.2584,728.9493
12/27/2005,412.98107,2834.22,1154.29,919.36,900.1953,668.2867,890.7441,739.8513
12/28/2005,417.66802,2834.6,1157.03,920.919,902.2759,666.0251,896.6137,748.3906
12/29/2005,427.03525,2879.97,1169.86,932.031,917.1683,683.2246,904.6878,746.214
12/30/2005,431.551023,2863.61,1161.06,923.451,917.7706,674.8759,893.9138,743.0293
1/4/2006,454.997876,2948.8,1180.96,941.428,932.0285,683.5127,928.0702,747.8462
1/5/2006,456.718158,3037.97,1197.27,959.134,936.7307,685.7409,946.651,760.4903
1/6/2006,458.07265,3053.31,1209.42,970.032,939.6604,698.4254,953.0762,764.1778
1/9/2006,462.129785,3064.85,1215.67,975.253,942.0677,715.2798,975.9442,765.7493
1/10/2006,460.826301,3079.92,1220.62,978.154,949.0973,714.4695,996.4936,764.8683
1/11/2006,458.969335,3043.97,1211.05,973.477,931.6433,703.0371,1015.181,768.5846
1/12/2006,464.987655,3084.19,1226.7,983.716,943.6995,710.8849,1024.7762,774.345
1/13/2006,461.269768,3045.57,1221.46,978.809,936.4929,698.7593,1030.019,768.9276
1/16/2006,465.967248,2985.31,1202.87,961.439,931.1599,685.5639,1034.9572,757.1634
1/17/2006,472.600008,3024.56,1208.44,964.29,947.0039,677.4393,1025.9268,759.9531
1/18/2006,479.543168,3123.05,1233.35,983.622,968.2173,692.0866,1055.5889,769.2433
1/19/2006,478.151162,3161.18,1251.58,991.222,993.7967,693.3841,1074.6916,787.5367
1/20/2006,488.968824,3153.35,1255.31,993.34,994.6562,705.6116,1118.9601,786.1994
1/23/2006,491.12805,3154.1,1255.77,996.162,993.5456,713.9262,1165.0152,796.3849
1/24/2006,487.861875,3198.15,1252.06,999.093,965.3036,736.3096,1150.0679,796.5761
1/25/2006,478.37779,3242.35,1258.05,1009.6,977.9852,727.3303,1162.7517,797.8479
2/6/2006,478.04304,3359.5,1287.63,1033.23,1002.2053,756.7939,1244.1416,821.4489
2/7/2006,468.652422,3358.69,1282.1,1029.94,993.8044,759.0666,1259.6555,818.1075
2/8/2006,460.636855,3335.68,1290.06,1033.07,1004.1365,765.3203,1200.0363,818.3203
2/9/2006,460.550086,3262.52,1269.45,1019.6,982.7747,760.5414,1202.0469,813.7683
